"PLZ","Abholdatum"
8041,"2023-09-04"
8041,"2023-09-18"
8041,"2023-10-02"
8041,"2023-10-16"
8041,"2023-10-30"
8041,"2023-11-13"
8041,"2023-11-27"
8041,"2023-12-11"
8044,"2023-01-16"
8044,"2023-01-30"
8044,"2023-02-13"
8044,"2023-02-27"
8044,"2023-03-13"
8044,"2023-03-27"
8044,"2023-04-24"
8044,"2023-05-08"
8044,"2023-05-22"
8044,"2023-06-05"
8044,"2023-06-19"
8044,"2023-07-03"
8044,"2023-07-17"
8044,"2023-07-31"
8044,"2023-08-14"
8044,"2023-08-28"
8044,"2023-09-11"
8044,"2023-09-25"
8044,"2023-10-09"
8044,"2023-10-23"
8044,"2023-11-06"
8044,"2023-11-20"
8044,"2023-12-04"
8044,"2023-12-18"
8045,"2023-01-10"
8045,"2023-01-24"
8045,"2023-02-07"
8045,"2023-02-21"
8045,"2023-03-07"
8045,"2023-03-21"
8045,"2023-04-04"
8045,"2023-04-18"
8045,"2023-05-02"
8045,"2023-05-16"
8045,"2023-05-30"
8045,"2023-06-13"
8045,"2023-06-27"
8045,"2023-07-11"
8045,"2023-07-25"
8045,"2023-08-08"
8045,"2023-08-22"
8045,"2023-09-05"
8045,"2023-09-19"
8045,"2023-10-03"
8045,"2023-10-17"
8045,"2023-10-31"
8045,"2023-11-14"
8045,"2023-11-28"
8045,"2023-12-12"
8046,"2023-01-06"
8046,"2023-01-20"
8046,"2023-02-03"
8046,"2023-02-17"
8046,"2023-03-03"
8046,"2023-03-17"
8046,"2023-03-31"
8046,"2023-04-14"
8046,"2023-04-28"
8046,"2023-05-12"
8046,"2023-05-26"
8046,"2023-06-09"
8046,"2023-06-23"
8046,"2023-07-07"
8046,"2023-07-21"
8046,"2023-08-04"
8046,"2023-08-18"
8046,"2023-09-01"
8046,"2023-09-15"
8046,"2023-09-29"
8046,"2023-10-13"
8046,"2023-10-27"
8046,"2023-11-10"
8046,"2023-11-24"
8046,"2023-12-08"
8046,"2023-12-22"
8047,"2023-01-12"
8047,"2023-01-26"
8047,"2023-02-09"
8047,"2023-02-23"
8047,"2023-03-09"
8047,"2023-03-23"
8047,"2023-04-06"
8047,"2023-04-20"
8047,"2023-05-04"
8047,"2023-06-01"
8047,"2023-06-15"
8047,"2023-06-29"
8047,"2023-07-13"
8047,"2023-07-27"
8047,"2023-08-10"
8047,"2023-08-24"
8047,"2023-09-07"
8047,"2023-09-21"
8047,"2023-10-05"
8047,"2023-10-19"
8047,"2023-11-02"
8047,"2023-11-16"
8047,"2023-11-30"
8047,"2023-12-14"
